,party_size,QSO,redshift_guess,biggest_boi_z,vel_disp,radius,logmass,center_ra,center_dec,biggest_boi_gal_ra,biggest_boi_gal_dec,center_diff_mpc,member_ids,morphology,biggestgaltype,stellar_masses,QSOrho_min,center_QSO_rho,host_vs_2nd_largest,delta_pos_angles,distances_to_largest,max_dist_to_largest,min_dist,group_name,absorption
18,3,J0935+0204,0.26235769928599767,0.26235590000000003,0.9201273020458339 km / s,0.15471800895647564 Mpc,7.705524363304442,143.84628159987363,2.0842220547071175,143.84616090000003,2.084709883,0.0075589319581334385 Mpc,"187    J093519.30+020445.0._09
196    J093523.08+020505.0._07
198    J093523.92+020511.2._07
Name: id, dtype: object","187      b'SF'
196      b'SF'
198    b'SF+E'
Name: gal_type, dtype: object",b'SF',"187     9.837980
196    10.530492
198     9.466968
Name: mstars, dtype: float64","187    141.302724
Name: rho_impact, dtype: float64",0.3665724644797502,0.20299631162725165,[173.13496311],[0.25095224 0.05882563],0.2509522439927861,0.058825625670392345,J0935+0204_0.2624,no
19,3,J0943+0531,0.35282568878733955,0.34987,655.9707824671318 km / s,0.2454700801315825 Mpc,13.61205521706931,145.87725794946448,5.530813871311777,145.86251830000003,5.5437397960000006,0.3603675203576696 Mpc,"207    J094327.00+053237.5._02
209    J094330.48+053144.9._01
210    J094330.61+053118.1._02
Name: id, dtype: object","207    b'SF+E'
209    b'SF+E'
210    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"207    10.893807
209     8.866977
210     9.324133
Name: mstars, dtype: float64","210    102.839092
Name: rho_impact, dtype: float64",0.1290333998757978,0.02693554694834832,[10.41400996],[0.37804587        nan],,,J0943+0531_0.3528,yes
21,5,J1001+5944,0.3742051177051762,0.3755545,51.016126529871144 km / s,0.5688901390254302 Mpc,11.758731028946558,150.21989425437454,59.73465525428852,150.1678925,59.74748993,0.5582834513509644 Mpc,"224    J100040.30+594451.0._12
227    J100047.12+594351.1._10
228    J100048.71+594409.8._11
250    J100106.36+594409.4._12
252    J100107.84+594401.1._10
Name: id, dtype: object","224      b'SF'
227      b'SF'
228      b'SF'
250    b'SF+E'
252      b'SF'
Name: gal_type, dtype: object",b'SF',"224    10.325436
227     9.442047
228     8.693592
250     8.872226
252     8.872226
Name: mstars, dtype: float64","250    155.41042
Name: rho_impact, dtype: float64",0.3957715530152634,0.13080069350280707,[16.32203969 37.3342436  21.01220392  1.53989075 35.79435285 19.47231316],[0.41992616 0.40250211 1.07011468 1.13778028],1.1377802780508603,0.402502113744618,J1001+5944_0.3742,no
23,6,J1001+5944,0.3042969558390405,0.3050435,240.0750518356186 km / s,0.26566115918382893 Mpc,12.77330978673964,150.26072983762975,59.723169852533445,150.2586212,59.71730042,0.0996189150353009 Mpc,"237    J100057.19+594233.8._11
239    J100100.42+594254.7._10
243    J100102.07+594302.3._11
245    J100103.47+594418.1._11
246    J100103.73+594406.6._11
251    J100106.62+594333.6._12
Name: id, dtype: object","237    b'SF+E'
239    b'SF+E'
243      b'SF'
245      b'SF'
246      b'SF'
251      b'SF'
Name: gal_type, dtype: object",b'SF',"237     9.155372
239     8.476067
243    10.094995
245     9.491699
246     9.124410
251     8.664915
Name: mstars, dtype: float64","245    36.91707
Name: rho_impact, dtype: float64",0.23598588708235768,0.2492897639500299,"[  6.35791523 135.57864644 129.22073122   3.09610685  39.7052557
 138.67475329 132.31683807  36.60914885 175.28390215 168.92598692]",[0.2161319  0.06764841 0.35496759 0.30393023 0.21583168],0.3549675935954875,0.06764841351091602,J1001+5944_0.3043,yes
27,4,J1016+4706,0.47391709392833065,0.4760639,455.71223330553465 km / s,0.440068504891036 Mpc,13.549189322818924,154.10570679486705,47.13061647622547,154.1277466,47.14640045,0.4787481383519877 Mpc,"281    J101617.28+470801.1._14
299    J101624.84+470741.5._14
307    J101626.31+470745.8._13
318    J101630.66+470847.0._15
Name: id, dtype: object","281      b'SF'
299      b'SF'
307    b'SF+E'
318    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"281     9.496166
299     9.483203
307     9.173810
318    10.836914
Name: mstars, dtype: float64","299    381.322851
Name: rho_impact, dtype: float64",0.443456552227692,0.04563015571031394,[29.24033559 35.53241579  6.29208019],[0.88013701 0.54003255 0.46162903],0.8801370097820692,0.4616290340734788,J1016+4706_0.4739,no
29,3,J1022+0132,0.30635380746650953,0.30636,49.823274227083125 km / s,0.20176510050950291 Mpc,11.287998238087518,155.56002724101546,1.5180504989389132,155.5600586,1.518239975,0.0032222435335531848 Mpc,"328    J102209.16+013140.6._03
333    J102214.40+013104.3._02
334    J102214.41+013105.7._01
Name: id, dtype: object","328    b'SF+E'
333    b'SF+E'
334      b'SF'
Name: gal_type, dtype: object",b'SF',"328     8.463286
333     8.426620
334    10.710450
Name: mstars, dtype: float64","334    467.49673
Name: rho_impact, dtype: float64",0.47017186934324023,0.005660254011541598,[105.03490422],[0.40176177 0.00662183],0.4017617720469416,0.0066218251038681775,J1022+0132_0.3064,yes
30,3,J1022+0132,0.5339065370487902,0.5337263000000001,92.17046631377323 km / s,0.4821948323634357 Mpc,12.200693781992866,155.59064858175324,1.5557886026069019,155.5907898,1.5572999719999998,0.03555141296424195 Mpc,"340    J102215.98+013126.4._03
352    J102221.72+013315.7._03
353    J102221.79+013326.3._01
Name: id, dtype: object","340    b'SF+E'
352      b'SF'
353    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"340     9.478680
352     8.594994
353    11.555356
Name: mstars, dtype: float64","340    452.192237
Name: rho_impact, dtype: float64",0.4853264671579631,0.008381552244710464,[30.67081298],[0.96438966 0.06915518],0.9643896647268684,0.0691551792787617,J1022+0132_0.5339,yes
31,4,J1022+0132,0.4788853753697485,0.4788655,96.22351642437532 km / s,0.4256346803900126 Mpc,12.183887115248169,155.59412047901347,1.527781470635246,155.5936584,1.494019985,0.746806925710699 Mpc,"350    J102221.16+013119.7._02
361    J102222.48+012938.5._02
363    J102222.66+013157.0._04
367    J102225.03+013144.6._02
Name: id, dtype: object","350      b'SF'
361    b'SF+E'
363    b'SF+E'
367    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"350     8.635663
361    11.788202
363     8.580166
367     9.486835
Name: mstars, dtype: float64","363    363.752931
Name: rho_impact, dtype: float64",0.40827380366465016,0.00499612344582869,[12.18879683 15.74295908 27.93175591],[0.6334898  0.85126936 0.80990483],0.8512693607800231,0.633489798714044,J1022+0132_0.4789,yes
32,3,J1022+0132,0.7784035483669927,0.7785279,211.36513504003636 km / s,0.32625040460533994 Mpc,12.75190542261562,155.60450987266597,1.4942203950293533,155.6061096,1.495270014,0.052689307329322935 Mpc,"360    J102222.46+013051.7._02
366    J102224.96+012935.2._04
368    J102225.46+012943.0._02
Name: id, dtype: object","360    b'SF+E'
366      b'SF'
368      b'SF'
Name: gal_type, dtype: object",b'SF',"360     9.481286
366     8.782385
368    11.898448
Name: mstars, dtype: float64","360    775.332921
Name: rho_impact, dtype: float64",1.4071176584640077,0.003826817973700744,[102.66563258],[0.62933126 0.0827838 ],0.6293312626792726,0.08278379964556176,J1022+0132_0.7784,no
33,3,J1059+2517,0.25235006153416994,0.25235860000000004,132.99019217487657 km / s,0.18648443087653868 Mpc,12.106569467480105,165.0111356171468,25.24652942971075,164.99295,25.228969600000006,0.35182302846648783 Mpc,"405    J105958.31+251344.3._03
410    J110002.60+251452.9._02
417    J110006.57+251442.8._03
Name: id, dtype: object","405      b'SF'
410      b'SF'
417    b'SF+E'
Name: gal_type, dtype: object",b'SF',"405    9.403366
410    8.820952
417    8.816569
Name: mstars, dtype: float64","410    590.532778
Name: rho_impact, dtype: float64",0.6121144914944708,0.26156842348251147,[10.13884053],[0.36530902 0.37296886],0.37296886175306904,0.36530902035486224,J1059+2517_0.2524,yes
36,3,J1133+0327,0.46771822094406984,0.4676846,17.193235872562784 km / s,0.37628639216676374 Mpc,10.634521416347468,165.014694,3.4554187083422065,165.014694,3.45331001,0.04603875510666545 Mpc,"451    J113317.88+032711.9._06
456    J113322.78+032828.7._05
467    J113330.54+032624.6._05
Name: id, dtype: object","451    b'SF+E'
456      b'SF'
467      b'SF'
Name: gal_type, dtype: object",b'SF+E',"451    10.365916
456     9.418045
467     9.422451
Name: mstars, dtype: float64","467    414.320135
Name: rho_impact, dtype: float64",181.99540584461928,0.11390296975153878,[180.],[0.46590942 0.28666336],0.46590942404445523,0.28666336028906936,J1133+0327_0.4677,yes
39,3,J1134+2555,0.6823326397461326,0.6861904000000001,37.14685365127767 km / s,0.07194602335718978 Mpc,10.585138524757815,165.014694,25.90501567520825,165.014694,25.9049892,0.0006937468181190323 Mpc,"482    J113452.40+255418.0._08
491    J113455.71+255418.1._06
499    J113458.59+255437.7._06
Name: id, dtype: object","482    b'SF+E'
491      b'SF'
499      b'SF'
Name: gal_type, dtype: object",b'SF+E',"482    10.482227
491     9.215330
499     9.650472
Name: mstars, dtype: float64","499    376.80286
Name: rho_impact, dtype: float64",205.60950598174654,0.14731445569863846,[],[0.00134949 0.14389205],0.14389204671437955,0.0013494874448325667,J1134+2555_0.6823,no
42,4,J1233-0031,0.42962099472452064,0.429505,61.12559304011862 km / s,0.30678702056675555 Mpc,11.647570813858799,188.27640330031417,-0.5431668955341044,188.2954712,-0.552460015,0.441247052631416 Mpc,"540    J123304.09-003326.0._10
543    J123306.33-003201.1._09
544    J123306.48-003146.1._10
548    J123310.91-003308.9._09
Name: id, dtype: object","540    b'SF+E'
543    b'SF+E'
544    b'SF+E'
548    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"540     9.709296
543     9.479102
544     9.234766
548    10.200419
Name: mstars, dtype: float64","544    238.806524
Name: rho_impact, dtype: float64",0.4054742065676662,0.3227583892235272,[54.12141056 60.72153759  6.60012703],[0.59925074 0.55777246 0.61357404],0.6135740411335111,0.5577724612288787,J1233-0031_0.4296,yes
44,3,J1419+4207,0.8046389652512745,0.8047984,78.79438613759665 km / s,0.500663331857725 Mpc,12.080823998873381,214.76009188468862,42.12055821112226,214.7405548,42.11970901,0.40440868833504784 Mpc,"577    J141857.73+420711.0._06
591    J141902.09+420611.8._05
593    J141902.77+420821.0._05
Name: id, dtype: object","577    b'SF+E'
591      b'SF'
593    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"577    11.653812
591    10.017536
593     9.637324
Name: mstars, dtype: float64","593    691.657879
Name: rho_impact, dtype: float64",0.7166206874186613,0.023105951485945863,[101.97514683],[0.59189062 0.69413745],0.6941374452470978,0.5918906202936364,J1419+4207_0.8046,yes
45,10,J1419+4207,0.5231673675425529,0.5252891,448.4756817567214 km / s,0.8004768097057685 Mpc,13.795114212961604,214.77465439562158,42.14127823452858,214.7819977,42.16989136,0.6751293903305702 Mpc,"581    J141859.98+420618.5._06
594    J141903.03+421011.6._07
595    J141903.54+420924.0._05
597    J141904.35+420931.2._06
599    J141905.03+420604.7._05
600    J141906.38+420832.2._04
607    J141907.68+421011.6._06
612    J141908.95+420648.2._04
617    J141909.71+420924.1._04
619    J141910.15+420645.0._05
Name: id, dtype: object","581      b'SF'
594      b'SF'
595      b'SF'
597      b'SF'
599    b'SF+E'
600    b'SF+E'
607      b'SF'
612    b'SF+E'
617      b'SF'
619      b'SF'
Name: gal_type, dtype: object",b'SF',"581     8.485661
594     8.889313
595     9.469654
597    10.025999
599     9.153290
600    10.414932
607    11.697943
612     9.476145
617    10.855839
619     9.308167
Name: mstars, dtype: float64","612    387.89927
Name: rho_impact, dtype: float64",0.4077055385639986,0.14384547254921312,"[ 69.78082263  23.87946681  22.28532215  45.90135581  47.49550048
   1.59414466  13.36422776  83.14505039  37.24369457  35.64954991
   1.43802206  11.9262057   81.70702833  35.80567251  34.21152785
  24.1680557   93.94887833  48.04752251  46.45337785  10.80382794
  12.24185     45.63082244 115.41164507  69.51028925  67.91614459
  32.26659468  33.70461674  21.46276674  17.86763232  27.76319012
  97.54401275  51.64265693  50.04851227  14.39896236  15.83698442
   3.59513442]","[1.5989242  0.33239298 0.42643006 0.35261354 1.60095362 0.64669444
 1.31279537 0.33861802 1.34203663]",1.600953619411442,0.332392976626347,J1419+4207_0.5232,yes
46,3,J1419+4207,0.4510543232942347,0.4505423,547.3745465285758 km / s,0.5152001720735138 Mpc,13.776832857039729,214.7800435655351,42.126707497218604,214.7786713,42.15261078,0.5545832071215141 Mpc,"596    J141904.08+420618.8._05
602    J141906.88+420909.4._04
621    J141910.91+420727.2._04
Name: id, dtype: object","596    b'SF+E'
602    b'SF+E'
621      b'SF'
Name: gal_type, dtype: object",b'SF+E',"596     9.317186
602    10.559592
621     9.024777
Name: mstars, dtype: float64","621    126.689806
Name: rho_impact, dtype: float64",0.20789767268056278,0.057226175616382866,[34.02401247],[1.03040034 0.6631369 ],1.0304003441470275,0.6631369036865545,J1419+4207_0.4511,no
48,3,J1419+4207,0.8447144184640146,0.8453198000000001,663.2489729066789 km / s,0.467671855190145 Mpc,13.901582067606004,214.79249020837295,42.13369565794526,214.789032,42.13317108,0.07408164431484704 Mpc,"613    J141909.37+420759.4._05
618    J141910.01+420803.3._04
625    J141911.67+420605.8._07
Name: id, dtype: object","613    b'SF'
618    b'SF'
625    b'SF'
Name: gal_type, dtype: object",b'SF',"613    10.209694
618     8.701060
625     9.396668
Name: mstars, dtype: float64","613    122.414144
Name: rho_impact, dtype: float64",0.11308094556892728,0.1538062932632484,[105.90687606],[0.06382948 0.91583318],0.9158331774191497,0.06382947751925189,J1419+4207_0.8447,yes
49,3,J1437+5045,0.1298628496231654,0.1298059,30.811119942886368 km / s,0.4409059561591224 Mpc,11.210048595779504,219.35171912078877,50.76360127283422,219.3541412,50.73526001,0.24422837856685295 Mpc,"643    J143704.91+504559.3._08
666    J143724.99+504406.9._09
703    J143743.04+504712.1._10
Name: id, dtype: object","643      b'SF'
666    b'SF+E'
703      b'SF'
Name: gal_type, dtype: object",b'SF+E',"643    8.595956
666    9.615144
703    8.214891
Name: mstars, dtype: float64","666    261.495566
Name: rho_impact, dtype: float64",0.042494147185334424,0.09567812999303087,[102.16850547],[0.52894705 0.60281448],0.6028144769536727,0.5289470464492412,J1437+5045_0.1299,yes
51,3,J1437+5045,0.5070215213407377,0.5069842999999999,20.137643239144477 km / s,0.44537453376787595 Mpc,10.845030326696415,219.32470946025387,50.76480027352438,219.3232269,50.76607895,0.03616082384349955 Mpc,"652    J143717.58+504557.9._10
654    J143718.27+504615.0._09
682    J143730.89+504501.3._08
Name: id, dtype: object","652    b'SF'
654    b'SF'
682    b'SF'
Name: gal_type, dtype: object",b'SF',"652    11.283110
654     9.650446
682     9.397486
Name: mstars, dtype: float64","682    447.361324
Name: rho_impact, dtype: float64",0.49372162966348765,0.023298915657024393,[93.06800667],[0.11585732 0.87700325],0.8770032459178845,0.11585732398011704,J1437+5045_0.507,yes
52,3,J1437+5045,0.5682777738717765,0.5680267,453.73883226033576 km / s,0.20575947679303447 Mpc,13.215259405762632,219.33485790845705,50.75872711283991,219.3296204,50.74822998,0.2658798967610465 Mpc,"656    J143719.11+504453.6._09
659    J143720.13+504554.0._08
663    J143723.74+504536.4._10
Name: id, dtype: object","656    b'SF+E'
659    b'SF+E'
663    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"656    10.812742
659     9.398558
663     8.945163
Name: mstars, dtype: float64","663    201.203053
Name: rho_impact, dtype: float64",0.4024842925480633,0.038531508775232336,[36.64958498],[0.41047442 0.41151895],0.41151895358606894,0.41047442298877634,J1437+5045_0.5683,yes
55,3,J1437+5045,0.662283,0.6651699999999999,0.0 km / s,0.29146352500080314 Mpc,-inf,219.39222528534398,50.778815893862934,219.3910675,50.7883606,0.24776421649996064 Mpc,"691    J143733.86+504718.1._08
692    J143734.17+504649.5._09
693    J143734.30+504557.1._09
Name: id, dtype: object","691    b'SF+E'
692    b'SF+E'
693      b'SF'
Name: gal_type, dtype: object",b'SF+E',"691    10.937677
692     9.743704
693     9.210069
Name: mstars, dtype: float64","693    556.818694
Name: rho_impact, dtype: float64",0.6448136618672996,0.06397745035148056,[2.97612799],[0.20638638 0.58292705],0.5829270500016063,0.20638638213927635,J1437+5045_0.6623,no
56,5,J1553+3548,0.5148150960551877,0.515695066,244.6061982685603 km / s,0.5849852395413537 Mpc,13.132367484373557,238.2585134474825,35.81556522531718,238.2635193,35.784729,0.7149615176251402 Mpc,"709    J155257.05+354920.1._13
717    J155259.31+354932.2._11
724    J155303.23+354717.0._12
725    J155303.24+354705.0._11
733    J155305.86+355005.5._11
Name: id, dtype: object","709    b'SF+E'
717    b'SF+E'
724      b'SF'
725    b'SF+E'
733    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"709     9.223935
717     9.004314
724     8.761770
725    10.202889
733     8.369580
Name: mstars, dtype: float64","724    478.405737
Name: rho_impact, dtype: float64",0.284146403697985,0.10496532147382737,[11.15178985 28.09169592 16.93990607 39.16419312 28.01240327 11.0724972 ],[0.98773413 0.98818791 0.07656645 1.16997048],1.1699704790827075,0.07656645374662514,J1553+3548_0.5148,no
58,3,J1553+3548,0.3417225413454978,0.341716342,3.3539954627102717 km / s,0.08672124371833087 Mpc,8.577538100030631,238.24710992946646,35.78380978875135,238.2507782,35.78680038,0.07615675168814216 Mpc,"715    J155259.09+354640.6._13
716    J155259.30+354704.2._12
719    J155300.19+354712.5._11
Name: id, dtype: object","715      b'SF'
716    b'SF+E'
719      b'SF'
Name: gal_type, dtype: object",b'SF',"715    8.036078
716    8.246564
719    9.997819
Name: mstars, dtype: float64","719    478.854259
Name: rho_impact, dtype: float64",0.5544185722426705,0.01773148037734514,[29.85626308],[0.17344249 0.06835447],0.17344248743666174,0.06835446593101771,J1553+3548_0.3417,yes
60,3,J1555+3628,0.47331654571082904,0.473284065,16.61013805659391 km / s,0.38276978095884173 Mpc,10.611971788728574,238.74907815481194,36.4644158840532,238.7785645,36.448349,0.62954707824123 Mpc,"752    J155457.45+362747.6._12
755    J155459.42+362756.5._11
763    J155506.85+362654.1._11
Name: id, dtype: object","752    b'SF+E'
755    b'SF+E'
763    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"752     9.103222
755     9.481825
763    11.155451
Name: mstars, dtype: float64","755    483.318838
Name: rho_impact, dtype: float64",0.48291077756764583,0.021201884562806177,[9.56973741],[0.76553956 0.66732054],0.7655395619176519,0.6673205417772562,J1555+3628_0.4733,yes
